uri,date_status,window_years,dates,citation,candidate_people,contributions,subject_labels
http://www.sudoc.fr/284170208/id,catalogued_year_in_window,2025,2025,"Les femmes d'Athènes  : l'Antiquité grecque était-elle misogyne ?  / Violaine Sebillotte Cuchet / Paris : PUF , DL 2025",Violaine Sebillotte-Cuchet,http://www.idref.fr/108540952/id aut,Femmes -- Conditions sociales; Relations hommes-femmes; Grèce -- Jusqu'à 395; Femmes; Misogynie
http://www.sudoc.fr/285725823/id,catalogued_year_in_window,2025,2025,"Sciences sociales aux bords du récit  / sous la direction de Marion Fontaine, Laurent Jeanpierre / Paris : Éditions de l'École des hautes études en sciences sociales , DL 2025",Marion Fontaine,http://www.idref.fr/148532616/id pbd,Sciences sociales -- Méthodologie; Historiographie; Narration; Sciences sociales -- Recherche
http://www.sudoc.fr/28573105X/id,catalogued_year_in_window,2025,2025,"Écrire... publier...  : réflexions sur les témoignages de 1914-1918  / de Rémy Cazals / [Senones] : Edhisto , DL 2025",Rémy Cazals,http://www.idref.fr/026773546/id aut,Guerre mondiale (1914-1918); Guerre mondiale (1914-1918) -- Littérature et guerre
http://www.sudoc.fr/286645890/id,catalogued_year_in_window,2025,2025,"Medieval Riverscapes  : Environment and Memory in Northwest Europe, c. 300-1100  / Ellen F. Arnold / Cambridge : Cambridge University Press , 2025",Ellen Fenzel Arnold,http://www.idref.fr/168373254/id aut,
http://www.sudoc.fr/289389143/id,catalogued_year_in_window,2023,2023,"A brief history of earth  : four billion years in eight chapters  / Andrew H. Knoll / New York : Mariner Books , 2023",Andrew H. Knoll,http://www.idref.fr/076349071/id aut,Terre; Géologie historique
http://www.sudoc.fr/292110189/id,catalogued_year_in_window,2025,2025,"Jaurès détective  : affaire Dreyfus  / Rémy Cazals / [Senones] : Edhisto , DL 2025",Rémy Cazals,http://www.idref.fr/026773546/id aut,"Dreyfus, Affaire (1894-1906); Jaurès, Jean (1859-1914); Erreur judiciaire"
http://www.sudoc.fr/292362137/id,catalogued_year_in_window,2025,2025,"Une brève histoire de la Terre  : quatre milliards d'années en huit chapitres  / Andrew H. Knoll  ; traduit de l'anglais par Corinne Smith / [Paris] : Les liens qui libèrent , DL 2025",Andrew H. Knoll,http://www.idref.fr/076349071/id aut,Terre -- Origines; Géologie historique
http://www.sudoc.fr/29253941X/id,catalogued_year_in_window,2023,2023,"The quest for modern Assam  : a history, 1942-2000  / Arupjyoti Saikia / Gurugram : Penguin Allen Lane , 2023",Arupjyoti Saikia,http://www.idref.fr/170714969/id aut,Assam (Inde); Inde (nord-est)
http://www.sudoc.fr/293922276/id,catalogued_year_in_window,2025,2025,"Action philanthropique et développement au Proche-Orient  : acteurs, pratiques et expertises (XXe-XXIe siècles)  / sous la direction de Malak Labib et Annalaura Turiano / Aix-en-Provence : Presses Universitaires de Provence (PUP) , DL 2025",Annalaura Turiano,http://www.idref.fr/198374852/id pbd,Oeuvres de bienfaisance; Proche-Orient -- 20e siècle
http://www.sudoc.fr/295187344/id,catalogued_year_in_window,2026,2026,"La construction des États au Moyen-Orient  : 1920-2011  / avec des textes de Sylvia Chiffoleau, Norig Neveu, Matthieu Rey, Imane-Hélène Chames-Eddine, Anne-Claire de Gayffier-Bonneville, Anna-Laura Turiano, Manon-Nour Tannous, Philippe Lemarchand,... [et autres] / Neuilly : Atlande , DL 2026",Annalaura Turiano,http://www.idref.fr/198374852/id aut,Moyen-Orient -- 20e siècle; Questions d'examens; Moyen-Orient -- Histoire
http://www.sudoc.fr/297674617/id,catalogued_year_in_window,2026,2026,"Les jeunesses communistes  / Dirigé par Guillaume Roubaud-Quashie  ; [Posteface de Michel Dreyfus] / Neuilly : Atlande , 2026",Christian Chevandier,http://www.idref.fr/032291485/id aut,Communisme
http://www.sudoc.fr/298848945/id,catalogued_year_in_window,2026,2026,"Pierre Mauroy  : une vie en socialisme  / Marion Fontaine & Mathieu Fulla / Bordeaux : le Bord de l'eau , DL 2026",Marion Fontaine,http://www.idref.fr/148532616/id aut,"Mauroy, Pierre (1928-2013); Actes de congrès"
