qid,label,discovery_cohorts,idref,gnd,bnf,viaf,lc,control,inherited_atlas_person_ids
Q112518341,William Rankin,environmental_history,196147247,1113307862,17079932v,388144647672582309405,no2015128105,False,
Q112518716,Karine Bergès,gender_adjacent,075958627,1090899289,,210057070,,False,
Q112519309,Antonio Gil Ambrona,gender_adjacent,136895999,,,83475140,,False,
Q112520168,George Revill,environmental_history,058009930,173240410,14400169n,33749457,n2003019561,False,
Q112520943,John Wills,environmental_history,,136443257,,8410159248296404870005,,False,
Q112521904,Sharon Block,gender_adjacent,126580030,132473143,15527761z,67628249,nr95030890,False,
Q112522246,Tim McNulty,environmental_history,,,,20946699,,False,
Q112522359,Hannes Bergthaller,environmental_history,,129701831,,52775426,,False,
Q112522673,Eleonóra Erzsébet Géra,gender_adjacent,,140862897,,107839497,nb2010013691,False,
Q112523953,Jocelyn Olcott,gender_adjacent,114253064,132230658,,57767947,,False,
Q112524524,Rachael Ball,gender_adjacent,18350318X,106959735X,17021379w,311587672,n2016052715,False,
Q112524749,Drew A. Swanson,environmental_history,,1064680526,,173247218,,False,
Q112524867,José Amador,gender_adjacent,,,,308233847,,False,
Q112525453,Suzy Kim,gender_adjacent,178621420,1042851646,,289434997,,False,
Q112525679,Gregory Maddox,environmental_history,050754122,143865560,135942584,71562571,,False,
Q112525968,Mária Palasik,gender_adjacent,074537512,1045113875,166897672,55960506,n2001088041,False,
Q112525989,Charles-François Mathis,environmental_history,110513274,138143277,16155003f,102418722,nb2011012396,False,
Q112526508,Raúl Mínguez Blasco,gender_adjacent,221458182,1189239426,,3148933671954302688,,False,
Q112526522,Eider de Dios Fernández,gender_adjacent,233585729,,179656839,6770154983554867860003,no2019018732,False,
Q112526823,Sam White,environmental_history,165958618,1017381232,,162786488,,False,
Q112526946,David Häni,environmental_history,,1165897180,,924154381060530292188,,False,
Q112528999,Karen Pastorello,gender_adjacent,229078885,136725236,,58534104,n2007062213,False,
Q112529170,Christine Ehrick,gender_adjacent,113463243,130541575,,40486125,,False,
Q112529929,Dana Cooper,gender_adjacent,177428775,1114896543,,305359631,,False,
Q112531688,P. de Zwart,environmental_history,193986868,1077474385,,290296106,,False,
Q112533307,Mark L. Hineline,environmental_history,,,,7150686456112541492,,False,
Q112533322,Steven Stoll,environmental_history,080124488,173258522,,58366081,,False,
Q112534785,Virginia Scharff,environmental_history,128772778,1043782206,,28698431,,False,
Q112536924,Elwood Watson,gender_adjacent,157366413,137976143,,9242859,,False,
Q112538960,Elizabeth Roberts Baer,gender_adjacent,143364502,1146495226,146393320,24858503,n82145262,False,
Q112539023,Elisabeth McMahon,gender_adjacent,181328429,1035548518,,288642660,,False,
Q112539822,Odette Varon-Vassard,gender_adjacent,196331420,,,121799473,,False,
Q112540771,Ellinor Forster,gender_adjacent,,124888852,,311357746,,False,
Q112541077,Amanda Konkle,gender_adjacent,,1189610647,,66152138539210980553,,False,
Q112541113,Anja Johann,gender_adjacent,05074643X,123555752,,66636375,n98091576,False,
Q112542172,Oksana Borisovna Vachromejeva,gender_adjacent,,,,5157825158054061240,,False,
Q112542307,Maria Barreto Dávila,gender_adjacent,240833511,1196746214,,3004157100620072740003,,False,
Q112544451,David Anthony Bello,environmental_history,109326016,132834332,,56012057,n2004143806,False,
Q112545736,Anna Müller,gender_adjacent,233062734,1151529346,,311130870,,False,
Q112545811,Jim Clifford,environmental_history,242228119,114256679X,,110149841973602842467,,True,
Q112547491,Christabelle Sethna,gender_adjacent,,1168246997,,106132495,,False,
Q112549519,Arupjyoti Saikia,environmental_history,170714969,1146892969,,226091068,,False,
Q112550137,Gina Anne Tam,gender_adjacent,249596415,1206762950,,43156856240449600039,,False,
Q112552277,Sebastian Haumann,environmental_history,251468607,1099979471,,171078195,nb2012000360,False,
Q112552633,S. Ravi Rajan,environmental_history,10470604X,1140120999,,28944370,,False,
Q112553290,Fredrik Albritton Jonsson,environmental_history,171550870,1041973357,16751335z,286388760,n2012069489,False,
Q112554862,David Douglas Vail,environmental_history,242550193,1175635146,,42149912324706210623,,False,
Q112555299,Raphaël Morera,environmental_history,131111108,1151527173,16547839m,230366953,no2012053475,False,
Q112555412,Marie Houllemare,gender_adjacent,114241066,1072860198,165146538,171546182,no2011077865,False,
Q112557046,Amy Leonard,gender_adjacent,095014683,13303707X,,15948677,,False,
Q112557475,Brian Bonhomme,environmental_history,091541182,1089842511,,73582804,,False,
Q112558617,Etienne Benson,environmental_history,164708618,142942294,16704480r,166699963,n2010006411,False,
Q112560394,Ling Zhang,environmental_history,197782914,1122206666,,447147266884135482406,,False,
Q112563813,Dana Wessell Lightfoot,gender_adjacent,178519677,,,307295595,,False,
Q112564413,Linda J. Borish,gender_adjacent,175189269,136809529,,65941472,,False,
Q112565013,E. Van Heyningen,gender_adjacent,030247446,170749444,121704632,76357474,,False,
Q112567198,Céline Pessis,environmental_history,171546709,1043179003,167171440,305406587,no2013130136,False,
Q112650314,Rosalva Loreto López,gender_history,08254977X,1056597526,15738832f,10177610,n95027962,False,
Q112669179,Elizabeth Abbott,gender_adjacent,,,12737087v,37041893,nb2014014243,False,
Q113004334,Vera Bianchi,gender_history,,124697011,,69868235,no2004030345,False,
Q113148194,Elizabeth A. Meyer,gender_history,077799240,173671373,14589641n,258404,n2003103450,False,
Q1132140,Cordelia Fine,gender_adjacent,151916004,132952254,15902933b,66803730,nr2006000276,False,
Q113303813,Claire Nicholson,gender_history,172305756,1205503145,,305399137,nb2013026204,False,
Q113360502,Ellen Chesler,gender_history,098245171,,,65513678,n87101194,False,
Q113370620,Nancy Cushing,environmental_history,250377586,1260389464,,169145541817896601290; 267148389257210710864,n2016000372,False,
Q113382641,Christopher Treiblmayr,gender_adjacent,,1081143096,,170019850,no2011051492,False,
