slug,source_dir,md5,bytes,lines,pages,title_guess,ocr_flag,dup_of,local_text_path,text_exists,text_sha256,review_status
hammond-town-labourer/ia_townlabourer00hammuoft,wiki_sources/hammond-town-labourer,82c60c50cb61f0a081046b1030772821,868199,17492,1,THE   TOWN   LABOURER,,,/home/jic823/capitalism/wiki_sources/hammond-town-labourer/ia_townlabourer00hammuoft.txt,True,c65fbe2df3543c0c5dc0016ba000592d553353524332aec0bf1d6e790a5f765c,inventory_only
hammond-village-labourer/ia_villagelabourer100hammuoft,wiki_sources/hammond-village-labourer,b8c6a216978b8931582447389a952739,1257015,23978,1,ST.  MICHAEL'S  COLLEGE,,,/home/jic823/capitalism/wiki_sources/hammond-village-labourer/ia_villagelabourer100hammuoft.txt,True,c0cb201606f59a643b84f02c3f813f71c328556ea59985acf57224164d84a792,inventory_only
jefferson-notes-state-virginia/ia_notesonstateofvi1787jeff,wiki_sources/jefferson-notes-state-virginia,2e8904205da23cadeaabf63b25b19b60,596228,21008,1,"J    /.~..^,         Ia^I^",,,/home/jic823/capitalism/wiki_sources/jefferson-notes-state-virginia/ia_notesonstateofvi1787jeff.txt,True,dd5d4969743cde4bc25c22f9bff0eb27258e6eaf5610ef2351a67a55a3bad772,inventory_only
jevons-coal-question/ia_bub_gb_gAAKAAAAIAAJ,wiki_sources/jevons-coal-question,a88893c9b26ab7605e2df606c8c57b25,470654,17511,1,Digitized by Google,,,/home/jic823/capitalism/wiki_sources/jevons-coal-question/ia_bub_gb_gAAKAAAAIAAJ.txt,True,4741eb0a07365e934b865a65156bd3c5a8858443e52f0e1bbe7e58f92d205274,inventory_only
ligon-true-exact-history-barbados/ia_trueexacthistory00ligo,wiki_sources/ligon-true-exact-history-barbados,71c7020d7fee854dc86c1ba797ef77a4,513851,9698,1,"7*C*^S»C3^""  3  ■'  &H",,,/home/jic823/capitalism/wiki_sources/ligon-true-exact-history-barbados/ia_trueexacthistory00ligo.txt,True,da57ecc6913b4fc78b738ae78330bc4244334a8e862f19118e0f18757ec5e629,inventory_only
list-national-system-political-economy/ia_nationalsystemof00list,wiki_sources/list-national-system-political-economy,1e1478fab2656122a7b7b3bcdd7685f8,1425763,23367,1,NATIONAL  SYSTEM,,,/home/jic823/capitalism/wiki_sources/list-national-system-political-economy/ia_nationalsystemof00list.txt,True,60a104adb229ad019bae3e1d7347ebaf782777146dfbe840b81fbe9508df3fb2,inventory_only
locke-second-treatise-of-government/pg7370,wiki_sources/locke-second-treatise-of-government,175c079456a2e6c91635807a2f357bcb,339004,5503,1,The Project Gutenberg eBook of Second Treatise of Government,,,/home/jic823/capitalism/wiki_sources/locke-second-treatise-of-government/pg7370.txt,True,3cd2baa0523ce2f5555576bf5af9079a887a497417a3217b61bc86ab12d543bb,inventory_only
long-history-of-jamaica-vol1/ia_historyofjamaica01long,wiki_sources/long-history-of-jamaica-vol1,8064d4d80f952fad7372c942df570279,1573906,66366,1,"CORO COGS OB Go, S ob Gs, os",,,/home/jic823/capitalism/wiki_sources/long-history-of-jamaica-vol1/ia_historyofjamaica01long.txt,True,9d438756eb07e5987d453a1187b874d809e5a8e0ef182c07fc1ebe64c130bbdc,inventory_only
long-history-of-jamaica-vol2/ia_historyofjamaica02long,wiki_sources/long-history-of-jamaica-vol2,74b33fb4934d66945358c8342cd73255,1740379,32399,1,'.i/0JIW3-JO->',,,/home/jic823/capitalism/wiki_sources/long-history-of-jamaica-vol2/ia_historyofjamaica02long.txt,True,305a65d25dd66ec3c36b6101924454a36edfd833dcdb59505b372748b1d12ae6,inventory_only
long-history-of-jamaica-vol3/ia_historyofjamaica03long_0,wiki_sources/long-history-of-jamaica-vol3,309071f10bd1fc61478ce7f56c3934be,950579,34020,1,* <6 ec Det ret,,,/home/jic823/capitalism/wiki_sources/long-history-of-jamaica-vol3/ia_historyofjamaica03long_0.txt,True,5cecb9f18fd75578c5f1cc3194c0dc455f212d152115be5c9bb288ddcf91c7b7,inventory_only
